s1,s2,s3,s4,class
156,156,66,156,Streaming
90,90,90,90,Controllers
70,66,66,66,Appliances
66,66,66,66,Sensors
421,493,489,469,Streaming
201,201,201,201,Controllers
188,66,188,66,Streaming
123,60,60,60,Controllers
191,191,191,191,Controllers
43,174,43,43,Streaming
95,54,54,54,Controllers
90,90,90,90,Controllers
214,66,214,66,Home Automation
160,54,160,54,Streaming
140,140,140,140,Appliances
143,143,143,143,Sensors
381,381,381,381,Streaming
74,66,252,66,Sensors
74,66,1236,66,Streaming
214,66,214,66,Sensors
75,75,75,75,Appliances
172,66,172,66,Home Automation
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,66,252,66,Sensors
74,66,1236,66,Streaming
66,66,66,66,Appliances
74,66,408,66,Appliances
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,54,571,54,Controllers
74,89,74,89,Sensors
74,66,252,66,Sensors
74,66,1236,66,Streaming
251,257,251,257,Appliances
74,54,371,54,Controllers
74,66,66,66,Streaming
74,66,459,66,Controllers
74,66,252,66,Sensors
74,66,1236,66,Streaming
110,110,110,110,Appliances
74,66,281,66,Home Automation
70,70,70,70,Streaming
70,70,70,70,Streaming
70,70,70,70,Streaming
55,55,55,55,Streaming
74,66,408,66,Appliances
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,66,252,66,Sensors
74,66,1236,66,Streaming
78,78,78,78,Sensors
350,350,350,350,Home Automation
90,90,90,90,Streaming
74,89,74,89,Home Automation
74,66,252,66,Sensors
74,66,1236,66,Streaming
74,54,571,54,Controllers
148,148,163,163,Controllers
74,66,583,66,Controllers
74,66,265,66,Streaming
